level_code,title,pattern,jp,es
N3,Expresar propósito,〜ように,話をする時、緊張しないように深呼吸します,"Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,よく、話をする時、緊張しないように深呼吸します。,"A menudo, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,よく、話をする時、緊張しないように深呼吸しますよ。,"A menudo, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,よく、話をする時、緊張しないように深呼吸しますね。,"A menudo, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,よく、話をする時、緊張しないように深呼吸しますですよ。,"A menudo, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,よく、話をする時、緊張しないように深呼吸しますね？,"A menudo, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,時々、話をする時、緊張しないように深呼吸します。,"De vez en cuando, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,時々、話をする時、緊張しないように深呼吸しますよ。,"De vez en cuando, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,時々、話をする時、緊張しないように深呼吸しますね。,"De vez en cuando, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,時々、話をする時、緊張しないように深呼吸しますですよ。,"De vez en cuando, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,時々、話をする時、緊張しないように深呼吸しますね？,"De vez en cuando, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,普段は、話をする時、緊張しないように深呼吸します。,"Normalmente, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,普段は、話をする時、緊張しないように深呼吸しますよ。,"Normalmente, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,普段は、話をする時、緊張しないように深呼吸しますね。,"Normalmente, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,普段は、話をする時、緊張しないように深呼吸しますですよ。,"Normalmente, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,普段は、話をする時、緊張しないように深呼吸しますね？,"Normalmente, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,たまに、話をする時、緊張しないように深呼吸します。,"A veces, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,たまに、話をする時、緊張しないように深呼吸しますよ。,"A veces, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,たまに、話をする時、緊張しないように深呼吸しますね。,"A veces, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,たまに、話をする時、緊張しないように深呼吸しますですよ。,"A veces, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Expresar propósito,〜ように,たまに、話をする時、緊張しないように深呼吸しますね？,"A veces, Cuando hablo, respiro hondo para no ponerme nervioso."
N3,Condicional real,〜たら,雨が降ったら、家にいます,"Si llueve, me quedo en casa."
N3,Condicional real,〜たら,よく、雨が降ったら、家にいます。,"A menudo, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,よく、雨が降ったら、家にいますよ。,"A menudo, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,よく、雨が降ったら、家にいますね。,"A menudo, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,よく、雨が降ったら、家にいますですよ。,"A menudo, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,よく、雨が降ったら、家にいますね？,"A menudo, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,時々、雨が降ったら、家にいます。,"De vez en cuando, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,時々、雨が降ったら、家にいますよ。,"De vez en cuando, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,時々、雨が降ったら、家にいますね。,"De vez en cuando, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,時々、雨が降ったら、家にいますですよ。,"De vez en cuando, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,時々、雨が降ったら、家にいますね？,"De vez en cuando, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,普段は、雨が降ったら、家にいます。,"Normalmente, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,普段は、雨が降ったら、家にいますよ。,"Normalmente, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,普段は、雨が降ったら、家にいますね。,"Normalmente, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,普段は、雨が降ったら、家にいますですよ。,"Normalmente, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,普段は、雨が降ったら、家にいますね？,"Normalmente, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,たまに、雨が降ったら、家にいます。,"A veces, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,たまに、雨が降ったら、家にいますよ。,"A veces, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,たまに、雨が降ったら、家にいますね。,"A veces, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,たまに、雨が降ったら、家にいますですよ。,"A veces, Si llueve, me quedo en casa."
N3,Condicional real,〜たら,たまに、雨が降ったら、家にいますね？,"A veces, Si llueve, me quedo en casa."
